fcgkj f'k{kk ifj;kstuk] ck¡dk,,,,
fnukad 31-08-2026 rd Inspire Award ds rgr Nk=@Nk=kvksa dk Nominaton ugha djus okys fo|ky;ksa dh lwph,,,,
S.No,AppCode,Udisecode,SchoolName,Block
312,APP51016577673,10230625602,U.M.S. Rajdah,Bausi
313,APP510161010763,10230617802,U.M.S. Saanp Dahar,Bausi
314,APP51016461617,10230610602,U.M.S. Sareiya Hindi,Bausi
315,APP510161000295,10230624901,U.M.S. Sareiya Urdu Maktab,Bausi
316,APP51016461605,10230601905,U.M.S. SAROUNI,Bausi
317,APP51016461085,10230606205,U.M.S.KAJI KAIRY,Bausi
318,APP51016461157,10230610101,U.M.S.Maniyarpur,Bausi
319,APP51016461620,10230618401,U.Ms.. Madhopur,Bausi
320,APP510161345308,10230600909,UCHCH MADHYAMIK VIDYALAY SIKANDARPUR,Bausi
321,APP510161167592,10230621209,Uchcha Madhaymik Vidyalay Bagdumba,Bausi
322,APP510161143113,10230605201,Uchcha Madhaymik Vidyalay Dahua,Bausi
323,APP510161344823,10230606301,UHS GOKULA,Bausi
324,APP510161041427,10230626706,Ums Kanikath,Bausi
325,APP510161345886,10230612601,ums baghwa,Bausi
326,APP510161038359,10230618701,Ums Bandhuakurawa,Bausi
327,APP510161120539,10230625601,Ums Bhaluwawadar,Bausi
328,APP510161349516,10230617601,Ums Chuapani,Bausi
329,APP510161042059,10230626401,Ums Dharampur,Bausi
330,APP510161042521,10230614402,Ums Dumariya,Bausi
331,APP510161044069,10230601901,Ums Ghutiya,Bausi
332,APP510161365762,10230626102,UMS Khijurmuriya,Bausi
333,APP51016462201,10230607403,UMS SIRAIN,Bausi
334,APP510161349873,10230605403,Ums Vishanpur,Bausi
335,APP510161119599,10230605702,UMS VRINDAVAN,Bausi
336,APP510161340590,10230610403,UTKARMIT SENIOR SECONDARY SCHOOL FAGA,Bausi
337,APP510161357238,10231001532,VIDYAYAN AWASIYA BAL VIDYALAYA KHUSHAHALPUR,Bausi
338,APP51016584046,10232801102,A.M.S. Belhar,Belhar
339,APP51016908841,10232805001,A.M.S. Gorganwan,Belhar
340,APP510161378452,10232800407,APPOLO PUBLIC SCHOOL,Belhar
341,APP510161357379,10232800408,BLUE DIAMOND PUBLIC SCHOOL,Belhar
342,APP51016983013,10232805701,Girl M.S. Rajpur,Belhar
343,APP51016194767,10232815403,HIGH SCHOOL SAHEBGANJ,Belhar
344,APP51016909938,10232824201,M S Beldiha,Belhar
345,APP51016982530,10232820402,M S Bijikhorba,Belhar
346,APP510161001181,10232807005,M.S Barahra,Belhar
347,APP51016986466,10232807010,M.S Nimiya Amahara,Belhar
348,APP51016723498,10232800101,M.S. DARSHANIYAN,Belhar
349,APP51016908932,10232814001,M.S. Matihani,Belhar
350,APP51016982549,10232800401,M.S. Sahabganj,Belhar
351,APP51016582202,10232823701,M.S. Simariya,Belhar
352,APP51016982762,10232823505,M.S. Tengra,Belhar
353,APP510161389296,10232818401,M.S.NAGEL,Belhar
354,APP51016585418,10232824302,M.V Bishanpur,Belhar
355,APP510161029427,10232805702,Ms Rajpur Balak,Belhar
356,APP51016911004,10232807004,Ms Sautadih,Belhar
357,APP51016914687,10232805502,PM SHRI +2 HIGH SCHOOL BELDIHA,Belhar
358,APP510161341551,10232801107,Project girl high school Belhar,Belhar
359,APP510161029112,10232805705,Rajpur High School Rajpur,Belhar
360,APP510161301817,10232823802,U H S NIMIYA KASHIDIH,Belhar
361,APP510161005601,10232815801,U M S Mahkara,Belhar
362,APP510161345420,10232803501,U M S Manjhgayn,Belhar
363,APP510161340118,10232814006,U U H S GHORBHIYAR MATIHANI,Belhar
364,APP510161340948,10232812802,U.H.S DARSHANIYA BELHAR,Belhar
365,APP510161360513,10232817302,U.H.S. BELA BIJHARA,Belhar
366,APP510161341846,10232828301,U.H.S. TENGRA,Belhar
367,APP51016585473,10232817501,U.H.S.. Bela Bijhara,Belhar
368,APP510161319680,10232813401,U.H.S.BAUKA BELHAR,Belhar
369,APP51016585044,10232802501,U.H.S.Bouka,Belhar
370,APP51016935219,10232821901,U.H.S.Hathiya Darha,Belhar
371,APP51016986627,10232803302,U.M.S Pachrukhi,Belhar
372,APP51016582179,10232804501,U.M.S Ghogha,Belhar
373,APP510161006828,10232823801,U.M.S Kashidih,Belhar
374,APP51016987097,10232811201,U.M.S Kashidih Bangama,Belhar
375,APP51016582310,10232807009,U.M.S Khairikhad,Belhar
376,APP510161010538,10232825201,U.M.S Khutahari,Belhar
377,APP51016991392,10232810601,U.M.S Navibandh,Belhar
378,APP51016982928,10232815001,U.M.S. Baghounia,Belhar
379,APP51016995453,10232814405,U.M.S. BAHJORA BELHAR BANKA,Belhar
380,APP51016981534,10232807401,U.M.S. Bahorna,Belhar
381,APP510161009961,10232800701,U.M.S. Bakrar,Belhar
382,APP51016983780,10232504301,U.M.S. BARA,Belhar
383,APP51016986482,10232815603,U.M.S. Chaiti,Belhar
384,APP510161005810,10232801801,U.M.S. Chinguliya,Belhar
385,APP51016910088,10232807801,U.M.S. Choura,Belhar
386,APP51016585463,10232801301,U.M.S. Devandih,Belhar
387,APP51016585446,10232824101,U.M.S. Dolbandh,Belhar
388,APP51016585429,10232824901,U.M.S. Ghuthiya,Belhar
389,APP51016985489,10232814401,U.M.S. Giddha,Belhar
390,APP51016988133,10232808101,U.M.S. Jamni Korasi,Belhar
391,APP51016585440,10232802301,U.M.S. JHIKULIYA,Belhar
392,APP51016985232,10232808401,U.M.S. Kendua Jharna,Belhar
393,APP510161010492,10232806101,U.M.S. Khadoudha,Belhar
394,APP51016585453,10232822401,U.M.S. Kuraba,Belhar
395,APP510161006579,10232802601,U.M.S. Lulha,Belhar
396,APP51016987157,10232806501,U.M.S. MADHUKARPUR,Belhar
397,APP51016985945,10232808201,U.M.S. Nakti Doulatpur,Belhar
398,APP510161010615,10232807301,U.M.S. Nawadih Banheiti,Belhar
399,APP51016584973,10232808002,U.M.S. Paprewa,Belhar
400,APP51016993286,10232807201,U.M.S. Pathalkuria,Belhar
401,APP51016582911,10232802302,U.M.S. Rattuchak,Belhar
402,APP510161351126,10232821101,U.M.S. SABAIJOR,Belhar
403,APP51016582171,10232804801,U.M.S. Sardara,Belhar
404,APP51016582319,10232803201,U.M.S. Sarsadda,Belhar
405,APP51016582850,10232807001,U.M.S. Srinagar,Belhar
406,APP51016988616,10232814404,U.M.S. Taraiya,Belhar
